発生日,地域,マグニチュード,最大震度
2018/7/5,沖縄,3.5,震度１
2018/7/11,沖縄,3.3,震度１
2018/7/18,沖縄,3.4,震度１
2018/7/23,沖縄,3.9,震度１
2018/8/1,沖縄,3.6,震度２
2018/8/2,沖縄,3,震度１
2018/8/10,沖縄,3.3,震度１
2018/8/14,沖縄,4.4,震度１
2018/8/20,沖縄,4.4,震度２
2018/8/31,沖縄,3.1,震度１
2018/9/8,沖縄,3.7,震度１
2018/9/9,沖縄,2.9,震度１
2018/9/12,沖縄,4.5,震度２
2018/9/15,沖縄,5.6,震度２
2018/9/15,沖縄,5.9,震度１
2018/9/15,沖縄,6.2,震度１
2018/9/16,沖縄,5.1,震度１
2018/9/16,沖縄,6,震度２
2018/9/18,沖縄,3.3,震度１
2018/9/21,沖縄,3.6,震度２
2018/9/22,沖縄,5.6,震度１
2018/9/24,沖縄,4.2,震度１
2018/10/23,沖縄,6.1,震度３
2018/10/24,沖縄,6.3,震度３
2018/10/27,沖縄,3.2,震度１
2018/10/28,沖縄,4,震度１
2018/10/30,沖縄,4.6,震度２
2018/10/30,沖縄,4.7,震度２
2018/11/1,沖縄,4.2,震度２
2018/11/4,沖縄,3.2,震度１
2018/11/5,沖縄,3.9,震度１
2018/11/9,沖縄,4.3,震度１
2018/11/12,沖縄,4.5,震度１
2018/11/19,沖縄,4.5,震度１
2018/11/19,沖縄,4.8,震度１
2018/11/22,沖縄,3.2,震度１
2018/11/24,沖縄,3.8,震度２
2018/11/26,沖縄,3.8,震度１
2018/12/3,沖縄,2.4,震度１
2018/12/4,沖縄,3.2,震度１
2018/12/13,沖縄,3.3,震度１
2018/12/15,沖縄,2.9,震度１
2018/12/16,沖縄,5.4,震度１
2018/12/20,沖縄,4.5,震度２
2018/12/30,沖縄,3.5,震度１
2019/1/1,沖縄,4.2,震度１
2019/1/1,沖縄,4.2,震度１
2019/1/4,沖縄,2.9,震度１
2019/1/10,沖縄,3.2,震度１
2019/1/18,沖縄,3.7,震度１
2019/1/18,沖縄,2.6,震度２
2019/1/24,沖縄,2.7,震度１
2019/1/24,沖縄,4.1,震度２
2019/1/27,沖縄,4.6,震度１
2019/1/27,沖縄,4.6,震度１
2019/1/30,沖縄,5.6,震度２
2019/2/1,沖縄,3.8,震度１
2019/2/6,沖縄,4.8,震度１
2019/2/16,沖縄,5.1,震度２
2019/2/16,沖縄,5,震度１
2019/2/16,沖縄,4.9,震度１
2019/2/16,沖縄,5.5,震度２
2019/2/18,沖縄,4.8,震度１
2019/3/15,沖縄,4.3,震度１
2019/3/23,沖縄,3.7,震度１
2019/4/8,沖縄,5.6,震度２
2019/4/12,沖縄,5,震度１
2019/4/16,沖縄,4.2,震度１
2019/4/18,沖縄,6.5,震度２
2019/4/21,沖縄,2.1,震度１
2019/4/24,沖縄,3.7,震度１
2019/4/28,沖縄,4.1,震度２
2019/5/8,沖縄,3.9,震度２
2019/5/31,沖縄,3.2,震度１
2019/6/10,沖縄,3.5,震度１
2019/6/11,沖縄,3.2,震度１
2019/6/23,沖縄,4.4,震度１
2019/6/27,沖縄,3.2,震度１
2019/7/2,沖縄,3.4,震度１
2019/7/9,沖縄,4.8,震度１
2019/7/12,沖縄,5.5,震度２
2019/7/13,沖縄,6,震度２
2019/7/22,沖縄,4,震度２
2019/7/22,沖縄,4.2,震度２
2019/7/22,沖縄,4,震度１
2019/7/22,沖縄,3.4,震度１
2019/7/23,沖縄,5,震度２
2019/7/28,沖縄,4,震度１
2019/7/29,沖縄,4.3,震度１
2019/7/30,沖縄,4.6,震度１
2019/8/3,沖縄,3.1,震度１
2019/8/8,沖縄,6.4,震度２
2019/8/9,沖縄,4.7,震度１
2019/8/10,沖縄,3.9,震度１
2019/8/15,沖縄,3.9,震度１
2019/8/24,沖縄,5.2,震度３
2019/8/26,沖縄,3.6,震度１
2019/8/27,沖縄,4.6,震度２
2019/8/31,沖縄,3.1,震度１
2019/10/15,沖縄,4.5,震度１
2019/10/17,沖縄,4.4,震度１
2019/10/17,沖縄,3.6,震度１
2019/10/17,沖縄,5.4,震度１
2019/10/18,沖縄,3.2,震度１
2019/10/24,沖縄,4.4,震度１
2019/11/16,沖縄,3.6,震度１
2019/11/19,沖縄,3.9,震度１
2019/11/19,沖縄,3.7,震度１
2019/11/29,沖縄,4.4,震度２
2019/11/30,沖縄,3.8,震度１
2019/12/1,沖縄,3.4,震度１
2019/12/1,沖縄,3.5,震度１
2019/12/3,沖縄,4.2,震度３
2019/12/4,沖縄,2.6,震度１
2019/12/5,沖縄,4.2,震度１
2019/12/5,沖縄,2.9,震度１
2019/12/12,沖縄,2.9,震度１
2019/12/15,沖縄,4.1,震度１
2019/12/15,沖縄,4.1,震度１
2019/12/18,沖縄,5.1,震度３
2019/12/27,沖縄,3.7,震度１
2019/12/28,沖縄,4.6,震度２
2019/12/29,沖縄,3.3,震度１
2020/1/7,沖縄,3.3,震度２
2020/1/10,沖縄,4.4,震度１
2020/1/12,沖縄,3.6,震度１
2020/1/13,沖縄,3.3,震度１
2020/1/16,沖縄,4.2,震度４
2020/1/16,沖縄,3.8,震度２
2020/1/22,沖縄,3.8,震度１
2020/1/22,沖縄,4.6,震度１
