ダウンロードした時刻：2021/02/03 17:44:52

,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2013/6/9,20.9,8,1,24.2,8,1,18.9,8,1,4.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/10,23.8,8,1,28.7,8,1,18.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/11,25.5,8,1,29.0,8,1,21.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/12,25.9,8,1,30.6,8,1,23.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/13,24.3,8,1,28.0,8,1,23.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/14,24.3,8,1,27.8,8,1,22.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/15,24.7,8,1,28.4,8,1,22.4,8,1,11.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/16,25.1,8,1,28.9,8,1,23.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/17,25.7,8,1,29.9,8,1,21.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/18,28.2,8,1,31.3,8,1,24.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/19,28.3,8,1,29.5,8,1,25.6,8,1,1.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/20,24.1,8,1,27.1,8,1,21.5,8,1,60.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/21,21.2,8,1,22.8,8,1,20.1,8,1,19.0,8,1,,0,1,,0,1,,0,1,,0,1
